Reference,B (m),qnet (kPa),NSPT,L/B,Df/B,Sm (mm)
"Burland and Burbidge (1982, 1985)",6,215,42,2.7,0.6,4.1
"Burland and Burbidge (1982, 1985)",1.5,666,18,1,0.51,25
"Burland and Burbidge (1982, 1985)",5.5,139,20,1.6,0.47,9.4
"Burland and Burbidge (1982, 1985)",12.2,181,53,1,0.25,9.6
"Burland and Burbidge (1982, 1985)",3.3,99,7,4.4,0.61,37.1
"Burland and Burbidge (1982, 1985)",25,63,6,1,0.08,84
"Burland and Burbidge (1982, 1985)",3.7,252,20,1.6,0.49,16.5
"Burland and Burbidge (1982, 1985)",6.1,144,23,5,1.1,11.7
"Burland and Burbidge (1982, 1985)",6,158,42,2.7,0.47,7.9
"Burland and Burbidge (1982, 1985)",16,70,12,1.3,0.09,90
"Burland and Burbidge (1982, 1985)",3.4,81,34,6.7,0,10.7
"Burland and Burbidge (1982, 1985)",4.3,177,20,1.6,0.49,8.1
"Burland and Burbidge (1982, 1985)",3,500,18,1,0.25,25
"Burland and Burbidge (1982, 1985)",55,234,60,1.8,0.18,25
"Burland and Burbidge (1982, 1985)",9,115,11,8,0.5,25
"Burland and Burbidge (1982, 1985)",25,76,6,1,0.08,85
"Burland and Burbidge (1982, 1985)",3.7,225,20,1.6,0.49,7.4
"Burland and Burbidge (1982, 1985)",15,148,20,1.3,0,40
"Burland and Burbidge (1982, 1985)",15.2,33,20,1,0.02,2.8
"Burland and Burbidge (1982, 1985)",15,136,55,1.7,0.4,16.2
"Burland and Burbidge (1982, 1985)",6.4,101,18,1,0.23,7.1
"Burland and Burbidge (1982, 1985)",5.1,117,19,3.1,0.24,19.3
"Burland and Burbidge (1982, 1985)",2.3,400,8,1.1,1.02,43
"Burland and Burbidge (1982, 1985)",2.6,196,9,8.1,0.77,33
Wahls (1997),5.2,127.8,58,3.7,0,17
Wahls (1997),5.2,95.8,42,1,0.44,9.9
Wahls (1997),4.9,118.7,22,1.8,0.3,6.4
Wahls (1997),6.4,71.8,18,1.45,0.23,6.6
Wahls (1997),16.2,139,16,1.6,0.29,15
Wahls (1997),22.5,221,20,2.9,0.44,21
Wahls (1997),5.1,114.9,42,4.6,0.35,5.8
Wahls (1997),5.2,134,22,1,0.96,14.7
Wahls (1997),6.6,168.1,39,2,0,15.5
Wahls (1997),4.3,145,20,1.6,0.49,11
Wahls (1997),5.2,1532,44,3.7,0,8.9
Wahls (1997),4.9,161.4,49,2.8,0,7.1
Wahls (1997),5,181.9,24,1.7,0.5,11.9
Wahls (1997),3.4,129,20,1,1.5,11.5
Wahls (1997),11,120,24,3,0.45,19.6
Wahls (1997),3.7,215,20,1.59,0.49,15
Wahls (1997),13.1,47.6,25,1.8,0.23,3.6
Wahls (1997),8.5,102.5,24,1,0,16.3
Wahls (1997),1,247.5,16,1,0,9.9
Wahls (1997),3.7,215,20,1.59,0.49,6.4
Wahls (1997),5.6,112,22,4.3,0.27,15.5
Wahls (1997),4.6,112,24,5,0.43,11.2
Wahls (1997),6.1,155.6,38,5,0.25,16.8
Wahls (1997),4.6,85.7,39,4.5,0.59,21.1
Wahls (1997),7,131.2,42,5.1,0.33,11.9
Wahls (1997),3.7,279,20,1.6,0.49,8.6
Wahls (1997),2.4,190,22,1.6,1.9,8.5
Wahls (1997),4.6,111.1,43,3.5,0,23.9
Wahls (1997),3,230.8,50,3.3,1,21.1
Wahls (1997),25.5,175,21,1,0.1,25
